state,state_url,abbv,regulated_facilities,unregulated_facilities,regulated_by,licensure_type_duration,inspections,accreditation,certificate_of_need,staffing,staff_trainings,staff_ratios,quality_assurance_plan,governance,link
Mississippi,Mississippi,MS,"Publicly-funded treatment facilities are regulated. There are also regulations for crisis stabilization services, which provide short-term residential care.",Facilities that don't receive state funds are not regulated.,Facilities are regulated by the Department of Mental Health.,Certification is required and lasts three years.,Inspections and document reviews are only required for certification for new service providers and new or added services or locations for existing providers. Inspections will also occur to assess “adherence to an accepted Plan of Compliance.”,not required,"not required, but A “showing of need” is required for certification.","For all programs, qualifications are outlined for a full-time executive director and other directors that direct services. Medication is evaluated, monitored and prescribed by a Board-certified or Board-eligible psychiatrist or a psychiatric or mental health nurse. In the event that a licensed psychiatrist cannot be hired, other physicians licensed by the state board can provide psychiatric services. A psychiatrist or physician, a registered or licensed practical nurse and a psychologist should provide medical, nursing and psychological services respectively. Employees providing therapy and counseling should be licensed and have a master’s degree in mental health. Regulations also include additional requirements for direct care staff and other specialists, like occupational therapists and dieticians. Community mental health centers are required to have at least a psychiatrist and psychologist (contract, part-time or full-time employee), a full-time registered nurse, a full-time licensed master social worker, licensed professional counselor or licensed marriage and family therapist, a full-time business manager, and a full-time records clerk. Full-time for these positions can also mean “full-time equivalent.” Crisis stabilization service facilities are required to have a director and mental therapist on site, full time (40 hours a week). There should be a ratio of one direct service employee for every four residents, 24 hours a day, 7 days a week.","New employees — including “regularly scheduled” volunteers and interns but excluding direct service providers, interns and volunteers — need to attend orientation training within 30 days. Direct service staff should complete orientation before interacting with any patients. A minimum of 20 hours of staff training is required subsequently to be completed within 90 days. Crisis stabilization service facility employees need to complete training and be certified for “managing aggressive or risk-to-self behavior.”",Crisis stabilization services are required to have at least one direct care employee to every four residents. No ratios for other types of facilities were specified in the report.,"Facilities need to have policies and procedures that allow for collecting and reporting measures required by the Department of Mental Health. Facilities need to also review potential risks, like access to ""lethal means"" in the building.",Facilities need to have a governing authority that oversees operational standards and policies and procedures,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Mississippi.pdf
Missouri,Missouri,MO,"Community residential facilities and psychiatric group homes, which are community residential facilities with 24-hour care for fewer than 16 residents.",There are no unregulated facilities.,"Facilities are regulated by the Department of Mental Health, Division of Behavioral Health. The Department of Health and Senior Services also regulates some facilities.",Licensure is required and lasts one year. Certification lasts for one to three years. Conditional or provisional certification lasts for less than 6 months.,Inspections are required for both licensure and renewal.,"not required, but facilities accredited by the Commission on Accreditation of Rehabilitation Facilities, The Joint Commission, Council on Accreditation or another organization approved by the Department of Mental Health receive “deemed status.” This allows the facility to submit a different certification application and skip a survey.",required.,"Psychiatric group homes need a chief administrative officer and access to a board-eligible or board-certified psychiatrist. Qualifications are also laid out for other staff, though these are not detailed in the report.","Orientation and training is required within 30 days of employment. Subsequently, there are additional minimum hours of training for direct staff and facilities are required to provide opportunities for training and continuing education.","Staff must be “on duty, awake and fully dressed at all times” when the facility is open 24 hours per day. Staffing patterns for psychiatric group homes are also specified in regulations.","A quality assurance plan is required. Facilities’ performance analysis created as part of the quality assurance plan is required to be made available to patients, family members, stakeholders and the Department of Mental Health. Facilities need to “be able to demonstrate its operation to staff of the DMH, accrediting body, or other interested parties.”","Facilities are required to have a governing body, whose responsibilities include ensuring regulatory and legal compliance. The governing body should reflect the demographics of the population that the facility services. People living with mental illnesses and parents or guardians of those receiving treatment should have ""meaningful input"" to the governing body.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Missouri.pdf
Montana,Montana,MT,Health care facilities and residential psychiatric care facilities are regulated residential facilities. Only one type of residential mental health treatment facility — 72-hour adult crisis stabilization services is specifically regulated.,There are no unregulated facilities.,Facilities are regulated by the Department of Public Health and Human Services.,"Licensure is required and lasts one to three years, depending on facility type.",An unannounced inspection is required at least once a year.,"not required, but accreditation by DNV Healthcare, Inc., the Healthcare Facilities Accreditation Program or the Joint Commission makes a facility eligible for licensure.",not required.,All service providers need to either be personally enrolled or have an employer enrolled in Medicaid. Facilities should “ensure the availability of immediate mental health evaluation and crisis stabilization services.”,Employees are required to complete a “72 Hour Provider Enrollment Addendum.”,Staff ratios were not specified in the report.,No requirements for a quality assurance plan were found in regulations.,No governance requirements were found in regulations.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Montana.pdf
Nebraska,Nebraska,NE,Mental health centers are regulated.,There are no unregulated facilities.,Facilities are regulated by the Department of Health and Human Services.,Licensure is required and expires on February 28 of each year.,Inspections are required for both licensure and renewal.,"not required but “allows the Department to deem the facility in compliance with licensure requirements.” Accreditations are accepted from the Joint Commission, the Commission on Accreditation of Rehabilitation Facilities or the Council on Accreditation for Children and Family Services.",not required.,"Mental health facilities should have an administrator Staff must have the required licenses, certifications, registrations or credentials, if applicable.",Orientation and ongoing training are required.,"Staff must have a “sufficient number of staff with the required training and skills,” but specific ratios were not specified in the report.",A quality assessment plan is required. The facility' needs to review its program description at least once a year and document the results of that review.,No governance requirements were found in regulations.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Nebraska.pdf
Nevada,Nevada,NV,"Community triage centers, which provide 24-hour medical assessments and short-term monitoring for those dealing with mental illness or substance abuse that don’t require hospital care, are regulated.",Regulations for mental health facilities aside from community triage centers were not specified.,"The Department of Health and Human Services, Division of Public and Behavioral Health regulates all facilities that receive federal or state funds.",Licensure is required and lasts one year.,Inspections are required for both licensure and renewal.,"not required, but accredited facilities are allowed to use restraints.",required for community triage centers.,"Community triage centers should have an administrator and a “sufficient” number of staff at all times. The administrator will designate a chief administrative nurse, who directs the nursing service, and is required to be a registered nurse. Counseling staff needs to be authorized to provide counseling. A psychiatrist or a psychologist with a master’s degree in clinical or counseling psychology should supervise mental health services. A registered nurse should either provide or supervise nursing services. Facilities should also have a pharmacy and a drug room, run by a registered pharmacist or a licensed nurse respectively, or a 24-hour contract with a licensed pharmacy.","Orientation must be provided, but ongoing training was not specified in the report.","There must be ""sufficient"" staffing, but staff ratios were not specified in the report.","A quality assurance plan is required and should include assessing patient stays, discharge planning and ""any unusual incidents"" that harmed or could have harmed a patient. Reviews should take place at least once a year and should be evaluated by both the governing body and the administrator.","Community triage centers should have a governing body. The requirements for the governing body include establishing policies, managing financial responsibilities and appointing an administrator and medical director. ",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Nevada.pdf
New Hampshire,New-Hampshire,NH,"Acute psychiatric residential treatment programs, which are programs outside of a hospital setting that provide 24-hour psychiatric treatment, are regulated.",Residential treatment and rehabilitation facilities — which are residential care centers providing treatment and “comprehensive specialized services” — have been unregulated since regulations expired in August 2019. The Department of Health and Human Services still has the authority to investigate complaints to unlicensed facilities and assess whether the facility's services require licensure. Facilities owned or operated by the state are also unregulated.,Facilities are regulated by the Department of Health and Human Services.,Licensure is required and lasts one year.,Inspections are required for both licensure and renewal.,not required. Facilities that are accredited do not receive deemed status.,not required.,"Staff minimum requirements beyond those listed in the staff ratio section were not specified. Requirements for age, education and experience are outlined for administrators and employees working in direct care.","New employees must receive an orientation within the first seven days of employment, covering topics like client rights, emergency procedures and mandatory reporting requirements.","At least two staff members, one of which is a registered nurse, should be on duty any time clients are in the facility. A psychiatrist should be available 24 hours a day for in-person consultation.","Acute psychiatric residential treatment programs are required to have a quality assessment committee that meets at least once a quarter. The regulations specify required activities for qualit improvement, including reviewing suggestions that medical staff has provided regarding client care.","A governing body is not required in regulations, but policies and procedures are required. The report also notes that the licensure application covers the facility's business authorization and the facility administrator's qualifications, which are both tasks that would otherwise fit into a governing body's responsibilities.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-NewHampshire.pdf
New Jersey,New-Jersey,NJ,Adult residential mental health treatment facilities are not regulated.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-NewJersey.pdf
New Mexico,New-Mexico,NM,"Crisis triage centers, which provide outpatient day treatment or short-term residential treatment, are regulated.",Facilities other than crisis triage centers are not regulated.,"Facilities are regulated by the Department of Health, Division of Health Improvement.",Licensure is required and lasts one year.,Inspections are required for both licensure and renewal.,not required.,not required.,"There should be an on-site administrator and a clinical director (these can be the same person). The administrator should be over the age of 21, have a bachelor’s degree in the human services field and have “experience or training in acute mental health treatment.” The clinical director should be over the age of 21, be licensed as a mental health professional, certified nurse practitioner or nurse specialist, and have experience in acute mental health treatment. There should be a registered nurse onsite 24 hours a day, 7 days a week if clients are also onsite. A physician or advanced practice registered nurse should be available on call 24 hours a day, as well as onsite or via telehealth as needed. At least one employee trained in cardiac life support and first aid, as well as one employee trained to use automated external defibrillator equipment, should always be on duty.","Employees and volunteers working in direct care should receive at least 16 hours of training before providing any unsupervised care. Staff should also receive at least 12 hours of ongoing training each year, covering topics like substance use disorders, crisis interventions and the cultures of the area the facility serves.",Staff ratios were not specified in the report.,"The required policies and procedures need to be reviewed each year and approved by the governing body. Facilities are required to have a quality committee and the composition of the committee is specified in regulations. The committee needs to review any ""critical incidents"" -- described as circumstances involving serious injury, neglect and death -- within 24 hours. The committee also needs to review other aspects of care, including medical emergencies and any uses of physical restraint.","Crisis triage centers are required to have a governing body, whose responsibilities include establishing bylaws, approving policies and procedures, and appointing and reviewing the performance of an administrator or chief executive officer.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-NewMexico.pdf
New York,New-York,NY,"Adult crisis residential programs, which provide treatment for up to 28 days, and adult treatment residential programs, which are “rehabilitation-oriented” and have up to 48 beds, are regulated.",There are no unregulated facilities.,Facilities are regulated by the New York State Office of Mental Health.,Licensure is required and lasts three years.,Inspections are required for licensure. Requirements for inspections for renewal were not specified in the report.,not required.,"""may"" be required","Crisis residential programs must have a director. There are also requirements outlined for staff, as well as standards for students and “trainees.” Required hires for adult crisis residential programs were not specified in the report.","Requirements for staff trainings were not specified in the report, but for crisis residence programs, employees need to submit documentation of past training and experience.","Adult residential treatment programs must have an “adequate number” of staff, but staff ratios were not specified in the report. Staff ratios for crisis residential programs were not specified in the report.","Crisis residential programs need to have a quality assurance plan, which is subject to approval by the Office of Mental Health. Crisis residential programs need to write an annual report. Data needs to be gathered on the facility’s performance and is also reviewed at least once a year. Adult residential treatment programs need to have an evaluation process for residents to provide confidential feedback. This feedback needs to be summarized in an annual report. Data gathered by crisis residential programs is reported to the Office of Mental Health. Adult residential treatment programs also have a quality assurance plan, including an internal process for incident reporting. Faicilities also need to have an evaluation process for patients. Their annual report is submitted to the Office of Mental Health, the resident and staff.",A governing body is required and is responsible for operating the program. The governing body must ensure that individuals who have had received mental health services themselves or have had family members receive such services are able to participate. The governing body's membership should also reflect the diversity of the area it serves. Other requirements for the governign body include approving policies and procedures.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-NewYork.pdf
North Carolina,North-Carolina,NC,"Facility based crisis centers for individuals of all disability groups, which provides “disability-specific care” outside of a hospital setting for those seeking short-term care, are regulated.",There are no unregulated facilities.,"The Division of Health Service Regulation regulates and licenses residential treatment, but the Department of Health and Human Services also contracts with publicly-funded providers and may have additional requirements as part of those contracts.",Licensure is required. The initial license lasts 15 months. Subsequent licenses expire at the end of each year.,Inspections are required for both licensure and renewal.,"not required, but a similar process takes place through local management “local management entities-managed care organizations” that help the Department of Health and Human Services manage the publicly-funded behavioral health services that the department contracts with.",not required.,"Standards and qualifications are described for the facility’s director. Facility staff should also be “licensed, registered or certified” as required.",Facilities are required to train employees on specific topics. Direct care staff members should have “basic knowledge about mental illnesses and psychotropic medications and their side effects; mental retardation and other developmental disabilities and accompanying behaviors; the nature of addiction and recovery and the withdrawal syndrome; and treatment methodologies for adults and children in crisis.”,At least one trained employee should be onsite at all times a patient is there. A physician should be on call 24 hours a day. Direct care employees should be able to access “qualified professionals who are qualified in the disability area(s) of the clients)” in the facility. Staff ratios are included in regulation.,NA,"A governing body is required and is responsible for developing policies and procedures, including the creation of a quality improvement committee and plan. The policies must also require that staff who work directly with clients but are not ""qualified professionals"" are supervised.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-NorthCarolina.pdf
North Dakota,North-Dakota,ND,Adult residential mental health treatment facilities are not regulated.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-NorthDakota.pdf
Ohio,Ohio,OH,"Residential facilities are regulated, which include class one facilities providing mental health treatment to adults with mental illness or children or teens with “severe emotional disturbances,” and crisis stabilization units that provide short-term treatment (stays are less than two weeks).",There are no unregulated facilities.,Facilities are regulated by the Department of Mental Health and Addiction Services.,"Facilities that receive federal, department block grant or Ohio Medicaid funding are required to receive certification. Licensure lasts up to three years.",Inspections may occur.,"not required, but accreditation from The Joint Commission, The Commission on Accreditation of Rehabilitation Facilities, The Council on Accreditation or another body designated by the director of the Department of Mental Health and Addiction Services can be used to satisfy requirements for certification. However, additional reviews may still take place even with accreditation.",not required.,"All staff should be 18 years old and have ""adequate communication skills to perform duties and responsibilites.""",The manager and other employees should receive training on working with people with mental illnesses. They should also receive 6 hours of training each year on “relevant topics.”,"Facilities should have “sufficient numbers and types of staff… scheduled for appropriate periods of time.” Facilities should also “specify the minimum staffing pattern of the facility,” but the details of what this pattern entails is not specified in the report.","Facilities need to have an improvement plan, which includes measuring performance. Facilities should also collect data as required by the organization that accredited it, or at least once a year for facilities that are not accredited.","Facilities should have a leadership structure that specifies who is responsible for governance. Non-profit organizations should have a governing body. Any other organizations, which are not non-profit, should have a governance structure specifying whether the organization owner or another entity, like a board of directors, is responsible for governance.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Ohio.pdf
Oklahoma,Oklahoma,OK,"Community-based structured crisis centers, which provide emergency services for crisis stabilization outside of a hospital setting, and certified eating disorder treatment programs, which can be residential facilities providing 24-hour care, are regulated.","The report found it ""possible"" that there are facilities outside of the above categories that are not regulated .",Facilities are regulated by the State Board of Mental Health and Substance Abuse Services.,"Certification is required for facilities that are run by, under contract with or “subject to certification by” the Oklahoma State Board of Mental Health and Substance Abuse Services. Private residential facilities may also receive certification. Temporary permit lasts for up to 6 months; Full certification lasts one or two years, “depending on level of compliance with regulations.” Programs meeting certain requirements can also receive certification with special distinction, which lasts three years.",Inspections are required for both licensure and renewal.,"not required, but accreditation by The Joint Commission, the Commission on Accreditation of Rehabilitation Facilities and the Council on Accreditation of Services for Families and Children, Inc. may deem a facility compliant with Oklahoma State Board of Mental Health and Substance Abuse Services standards. Facilities can also be certified with special distinction if accredited. In order to receive the above benefits, documentation of accreditation has to be submitted to the Oklahoma State Board of Mental Health and Substance Abuse Services.",not required.,"Crisis stabilization services require a “co-occurring disorder capable multidisciplinary team,” including medical, clinical, administrative and other staff.","Required training covers topics like abuse reporting, trauma-informed care and first aid. Training should be evaluated by the facility at least once a year. There are requirements for “orientation procedures, in-service training and education programs, availability of professional reference materials” and “mechanisms for ensuring outside continuing educational opportunities.” In eating disorder treatment centers, presentations should be held each year on topics including consumer rights, confidentiality and cultural competence.",A physician must always be available on site or on call and respond within 20 minutes. Nursing and other staff should be “adequate in number.” Eating disorder treatment centers have specific staffing ratios.,All facilities should have a plan for assessing the organization's needs and collecting and using data. Facilities should have a performance improvement program and report findings from the program.,Facilities should have a governing authority and governance structure.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Oklahoma.pdf
Oregon,Oregon,OR,"Residential treatment homes, which provide 24-hour treatment for up to five people, and residential treatment facilities, which provide 24-hour treatment for six to 16 people, are regulated.",There are no unregulated facilities.,Facilities are regulated by the Oregon Health Authority.,Licensure is required and lasts two years. Facilities also need to meet requirements to receive certification for insurance reimbursement.,Inspections are required for both licensure and renewal.,not required.,not required.,"Facilities need a program administrator. The report did not find any requirements for a medical director or medical staff. Facilities need to meet requirements for staff including program directors, supervisors and interns.",Staff should receive an initial orientation and continue to receive training afterward.,Staffing ratios are laid out for direct care staff. Requirements for residential facilities also outline requirements and ratios for overnight care.,"Policies and procedures are required for facilities. Facilities need to report information accreditation organization results, data on healthcare effectiveness and more to the Oregon Health Authority. They should also have a quality assessment program.",No governance requirements were specified in the report.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Oregon.pdf
Pennsylvania,Pennsylvania,PA,"Long-term structured residences, which provide care for adults who could be hospitalized but can still receive “adequate” care in these facilities, are regulated.",There are no unregulated facilities.,Facilities are regulated by the Department of Human Services.,Licensure is required and lasts one year.,An announced inspection is required at least once a year.,not required.,not required.,"Responsibilities and qualifications are outlined for the program director, mental health professionals and direct care staffers.","There are requirements for orientation and training, which include topics like infection control, abuse prevention and reporting and confidentiality. There are also minimum hours set for training. Direct care staff also receive additional orientation.",Staffing levels are outlined in regulations but not elaborated upon in the report.,"Facilities need to have a quality improvement plan, which should specify who is responsible for quality improvement, who findings are reported to and how frequently reviews should be done. The plan should also assess care by taking into consideration factors like resident and family satisfaction, case reviews that occur at least quarterly and use of medications.","A governing body is required and should establish policies, select the program director, annually review the program, manage the program's budget and ensure regulatory compliance.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Pennsylvania.pdf
Rhode Island,Rhode-Island,RI,"Behavioral healthcare organizations, which are public or private residential facilities that provide mental health or substance use disorder care, are regulated. Subsets of behavioral health organizations include: behavioral health stabilization units (24-hour crisis care for up to 16 patients), mental health psychiatric rehabilitation residences (24-hour “congregate licensed” program for up to 16 patients”), specialized mental health psychiatric rehabilitation residences (similar to the prior facility, but for patients with co-occurring conditions) and supportive mental health psychiatric rehabilitative residence apartments (24-hour program for up to 16 patients in an apartment setting).",There are no unregulated facilities.,"Facilities are regulated by the Department of Behavioral Healthcare, Developmental Disabilities and Hospitals.",Licensure is required and lasts two years.,Inspections are required for both licensure and renewal.,"not required, but accreditation by “‘an acceptable national accreditation body’” can give facilities deemed status, but “full quality program reviews” are still required.",not required.,"BHSUs are required to have a psychiatrist, psychiatric clinical nurse specialist or other “mid-level practitioner” supervised by a psychiatrist available 24/7. A staff member in charge of managing admission from the facility to an inpatient facility is required 24/7. A registered nurse managing medication services and medical admissions transfers is also required 24/7. There must also be an employee trained in first aid and CPR whenever the facility is operating. There are also additional requirements for other staff members, like nurses, counselors and clinical supervisors.",Orientation and annual training is required. Staff in behavioral health stabilization units need to receive training in risk assessment and crisis intervention.,"24-hour staffing is required for mental health psychiatric rehabilitation residences, specialized mental health psychiatric rehabilitation residences and supportive mental health psychiatric rehabilitative residence apartments. Ratios are outlined in the report only for mental health psychiatric rehabilitation residences, where there is required to be one employee per resident “when a resident is in crisis.”","Facilities are required to have a quality improvement program, which addresses requirements outlined in regulations. Facilities are also required to have policies and procedures for evaluating patient satisfaction.","Facilities are required to have a governing body, whose responsibilities include fiscal management. At least a quarter of the board should be reflective of the population that the facility is serving and/or family members of patients that the facility is serving. At least one individual on the board must be ""an individual served"" by the organization.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-RhodeIsland.pdf
South Carolina,South-Carolina,SC,"Crisis stabilization units, which provide residential care for adults for up to 14 days, are regulated.","The report found it ""possible"" that there are facilities outside of the above categories that are not regulated.",The Department of Health and Environmental Control regulates crisis stabilization units and the Department of Mental Health operates them.,Licensure is required. The duration of licensure was not specified in regulations.,Inspections are required for the initial license and “as deemed appropriate” by the Department of Health and Environmental Control afterward.,not required.,not required.,"Requirements and qualifications are outlined for administrators, registered nurses and other staff, but not specified in the report.","All staff, including volunteers, are required to include training. Staff that work directly with patients must also receive training in topics like CPR and first aid, medication management, suicide assessment and prevention and patient rights. New employees need to be trained on the “purpose and environment of the facility” within 24 hours of their first day.","There are staffing ratios, but the report did not specify them.","Facilities must have a quality improvement program, including identifying and examining many unexpected patient outcomes and preventing further such outcomes. In addition, any incidents, inflections or ""other unusual occurrences"" affecting patient well-being should be analyzed.",Policies and procedures for ensuring that facilities are compliant with regulations are required. No additional governance requirements were specified in regulations.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-SouthCarolina.pdf
South Dakota,South-Dakota,SD,The report did not find regulations that “expressly govern” residential mental health facilities. The Department of Social Services’s Division of Behavioral Health said there were no residential mental health facilities in the state subject to the Department of Health’s licensure requirements.,There are no unregulated facilities.,"Department of Social Services, Division of Behavioral Health regulates community mental health centers.",NA,NA,NA,NA,NA,NA,NA,NA,,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-SouthDakota.pdf
Tennessee,Tennessee,TN,"Mental health residential treatment facilities (24-hour community-based residential facility), crisis stabilization unit (Short-term treatment, up to 96 hours, for adults), and adult supportive residential facilities (24-hour residential care that is less intensive than what is provided in mental health residential treatment facilities), are regulated.",There are no unregulated facilities.,Facilities are regulated by the Department of Mental Health and Substance Abuse Services.,Licensure is required and lasts one year.,Inspections are required for both licensure and renewal. An unannounced inspection occurs at least once a year.,"not required, but accreditation by the Joint Commission or Council on Accreditation of Rehabilitation Facilities provides “deemed status,” which means the facility is considered compliant with licensure requirements.",not required.,"Mental health residential treatment facilities have a licensed physician providing medical services. If the licensed physician is not also a psychiatrist, the program must also have access to a licensed psychiatrist. One staff member who is CPR certified and trained in first aid and the Heimlich maneuver should be on duty at all times. Other staffing requirements and ratios are laid out in regulations, but not specified in the report. Crisis stabilization units are required to have a designated director or administrator. A “qualified prescriber” — who is either a psychiatrist or has “psychiatric expertise” — should be on call 24 hours a day to prescribe medications and provide medical treatment and make daily rounds. One staff member who is CPR certified and trained in first aid, the Heimlich maneuver and infection control precautions should be on duty and on site at all times. Other staffing requirements and ratios are laid out in regulations, but not specified in the report. Adult supportive residential centers should have access to the “regular, consultative, and emergency services of a licensed psychiatrist” and have staff trained on acute psychiatric situations on backup. All mental health employees should be supervised by a licensed mental health professional. All direct care employees should be supervised by a mental health professional. One staff member who is CPR certified and trained in first aid and the Heimlich maneuver should be on duty at all times. Other staffing requirements and ratios are laid out in regulations, but not specified in the report.",Requirements for staff trainings were not specified in the report.,"There are ""extensive requirements"" for staffing ratios, which weren't specified in the report, and there also must always be a staff member certified in CPR, first aid and the Heimlich maneuver.",No quality assurance requirements were specified in regulations.,No governance requirements were specified in the report.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Tennessee.pdf
Texas,Texas,TX,Crisis stabilization units and day programs for acute needs (short-term treatment that can occur in a residential setting). Regulation applies to facilities receiving funding from Medicaid or holding a general revenue contract with the Texas Health and Human Services Commission.,"The following facilities are regulated as local mental health authorities, with standards set by contracts rather than licensure: Extended observation units (emergency services for “individuals in a mental health crisis who may pose a high to moderate risk of harm to self or others”), crisis residential units (residential treatment for those with a “moderate to mild risk of harm to self or others”) and crisis respite units (residential treatment for those with a “low risk of harm to self or others.”",The report did not specify the state entity that regulates these facilities.,"Crisis stabilization units, including those providing court-ordered mental health services, need to be licensed. Day programs don’t have “specifically applicable licensing requirements,” but may need licensure if they are part of crisis stabilization units. Licensure lasts two years.",Inspections are conducted “as considered necessary.”,not required.,not required.,"For crisis stabilization units, a physician is required to be on site at all times. Only physicians are permitted to conduct physical and psychiatric examinations. There should also be a director of psychiatric services, who should be certified by the American Board of Psychiatry and Neurology or the American Osteopathic Board of Psychiatry and Neurology, or have three years of experience working as a “physician in psychiatry in a ‘mental hospital.’”","Employees are required to be trained in patient rights. Employees in crisis stabilization units are required to receive orientation and annual training. Registered nurses, licensed vocational nurses and unlicensed assistive personnel are required to complete additional training.","Crisis stabilization units should also have an ""adequate"" number of staff. For day programs, there needs to be at least one registered nurse for every 16 individuals at all times. Only registered nurses can provide psychiatric nursing services. There also needs to be two employees who are either qualified mental health professionals in community services, community support system providers, or peer providers. An additional qualified mental health professional should be on duty and able to respond within a half hour. In total, there should be at least one of these providers for every patient.",No requirements for a quality assurance plan were found in regulations.,Crisis stabilization units are required to have a governing authority who manages the facility and appoints its administrator. No governance requirements for day programs for acute needs were found in regulations.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Texas.pdf
Utah,Utah,UT,"Residential treatment programs, which serve at least four people, are regulated.",There are no unregulated facilities.,"The Department of Human Services, Office of Licensing manages health and safety regulations and the Division of Substance Abuse and Mental Health sets standards for facilities receiving Department funds.","Licensure is required. Initial licenses last for one year, but some programs may receive two-year licenses.",Inspections are required for the initial certification and at least annually afterward.,not required. The Utah Department of Human Services’s Office of Licensing may “adopt a written inspection report” from the accrediting body to evaluate a facility’s compliance with licensing requirements.,not required.,"Facilities must have a director, who should be available at all times that the facility is operating, and access to a medical clinic or physician. Staff should be trained in the program’s policies and be certified in first aid and CPR. Providers who are contracted with the Utah Department of Human Services’s Division of Substance Abuse and Mental Health and Count Local Authority programs need to have staff that is licensed to evaluate individuals for mental health illnesses and substance use disorders. Further requirements and qualifications are specified in regulations, but not outlined in the report.","Requirements for orientation and ongoing staff trainings were not specified in the report, but staff members should be trained in program policies, first aid and CPR.",Facilities should have and follow a written staff ratio.,A quality assurance plan is required and facilities need to document the plan's implementation.,"A governing body is required and should either be commissioners or appointed officials of a governmental unit, the Board of Directors of either a non-profit organization, or the Board of Directors or owners of a for-profit organization.",https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Utah.pdf
Vermont,Vermont,VT,"Therapeutic community residences (transitional living residence, treats both substance use and mental health), intensive residential recovery facilities (treatment for those with “mental conditions or psychiatric disabilities”), and designated agencies (providers designated by the Vermont Department of Developmental and Mental Health Services to provide care to local communities) are regulated.",There are no unregulated facilities.,The Department of Mental Health contracts with licensed intensive residential recovery facilities. Additional regulations may apply in order for facilities to receive insurance reimbursement. Designated agencies are funded by the Department of Developmental and Mental Health Services.,Licensure is required and lasts one year. Secure residential recovery facilities must receive additional approval.,Inspections are required for both licensure and renewal.,not required.,required.,"Facilities should have a manager, who has at least an associate’s degree in or three years of experience in a field related to human services. The manager should be on site at least 22 hours a week.","Orientation and other training, including an annual training plan, is required. Direct care staff at therapeutic community residences should have at least 12 hours of training each year.",Staffing levels may be required by the licensing agency for therapeutic community residences.,"A quality improvement program, with outlined procedures and designated individuals who are responsible, is required. The plan should be updated each year.",Facilities should have a governing board consisting of citizens who represent their service area's demographics.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Vermont.pdf
Virginia,Virginia,VA,Residential crisis stabilization services (short-term residential care) and community gero-psychiatric residential services (24-hour mental health care for those 65 or older) are regulated.,There are no unregulated facilities.,Facilities are regulated by the Department of Behavioral Health and Developmental Services.,"Licensure is required and lasts for up to three years. Conditional licenses for new providers can last for up to 6 months and renewed for a total of a year. Provisional licenses, which are for a provider “that has demonstrated an inability to maintain compliance,"" can last for up to 6 months.",Inspection is required for licensure. The report does not specify whether inspection is required for renewal.,not required.,not required.,"All facilities need to conduct background checks and have written job descriptions for staff. There are also requirements and qualifications outlined for the program director, medical director, director of clinical services and more at a community gero-psychiatric residential services facility. There always needs to be staff trained in CPR and first aid. Individual service plans should be developed with a team including a registered nurse, licensed psychologist, licensed social worker, therapist, pharmacist and psychiatrist.","Orientation training needs to cover topics like patient confidentiality and rights. Requirements for ongoing training topics were not specified in the report, but such training needs to be documented.","Staff ratios were not specified in the report, but facilities are required to have a staffing plan that details how to meet resident needs.",A quality improvement plan is required and must be updated at least once a year. Facilities must collect and report performance measures outlined by the state. Medication errors must also be reviewed at least every quarter.,A governing body that manages fiscal accountability is required.,https://aspe.hhs.gov/sites/default/files/2021-08/StateBHCond-Virginia.pdf
