name1,name2,street1,street2,city,state,zip,zip4,county,phone,website,latitude,longitude,hi,res,phdt,op,cbhc,msmh,omh,ores,ph,psy,rtca,rtcc,ipsy,shp,vahc,chld,yad,adlt,snr,tay,se,gl,vet,adm,mf,cj,co,hv,dv,trma,tbi,alz,ped,pefp,ptsd,sed,smi
Reflections Behavioral Health,Discovery House Residential Program,212 Medical Drive,,Natchitoches,LA,71457,,Natchitoches,318-238-3696,http://www.nrmchospital.org,31.7547262,-93.0751994,,1,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1,1.0,1.0,,1.0
New Haven RTC,,2172 East 7200 South,,Spanish Fork,UT,84660,,Utah,801-794-1218,http://www.newhavenrtc.com,40.1004217,-111.6027715,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,1,,1.0,,
New Haven RTC,,228 West 400 North,,Saratoga Springs,UT,84045,,Utah,801-423-5342,http://www.newhavenrtc.com,40.3693480334736,-111.922645568902,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,1,,1.0,,
Gateway Academy LLC,,11706 South 700 East,,Draper,UT,84020,,Salt Lake,801-523-3479,http://www.gatewayacademy.net,40.539233,-111.872369,,1,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,1,,1.0,,
Renewed Hope Ranch,,425 East 6000 North,,Cedar City,UT,84721,,Iron,435-531-0040,http://www.renewedhoperanch.com/,37.7881255,-113.0576961,,1,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,1,,1.0,1.0,
Avalon Hills,Adolescent,175 East 100 North,,Paradise,UT,84328,,Cache,435-938-6060,http://www.avalonhills.org,41.5672998,-111.8300269,,1,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,1,,,,
Avalon Hills,Adult,550 West Mount Pisgah Road,,Paradise,UT,84328,,Cache,435-938-6080,http://www.avalonhills.org,41.5766953,-111.8514536,,1,1.0,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,1,,,,1.0
Logan River Academy Inc,,1683 South Highway 89,,Logan,UT,84321,,Cache,866-755-8400,http://loganriver.com,41.7032974,-111.853382,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,,1,,1.0,1.0,
Red Circle Lodge,,930 Memorial Street,,Hildale,UT,84784,,Washington,435-874-1467,http://www.redcirclelodge.com,37.0059536,-112.9642587,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,1,,1.0,,
Veterans Affairs Medical Center,Mental Health Service,1970 Roanoke Boulevard,,Salem,VA,24153,6404.0,Salem,540-982-2463 x2515,http://www.va.gov/,37.27452,-80.019886,1.0,1,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1,,1.0,,1.0
UMFS,Leland House,13525 Leland Road,,Centreville,VA,20120,,Fairfax,703-222-3558 x102,http://www.umfs.org,38.8431373,-77.4149267,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,,,1,,1.0,1.0,
Center for Discovery,Fairfax,5343 Summit Drive,,Fairfax,VA,22030,6523.0,Fairfax,866-862-3631,http://centerfordiscovery.com/locations/fairfax/,38.8371168,-77.3870348,,1,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1,,,,
Center for Discovery,Alexandria,7809 Schelhorn Road,,Alexandria,VA,22306,2825.0,Fairfax,866-482-3876,http://centerfordiscovery.com/locations/alexandria/,38.7455307,-77.0771098,,1,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1,,,,
Center for Discovery,McLean,5949 Oakdale Road,,McLean,VA,22101,3331.0,Fairfax,866-944-9796,http://centerfordiscovery.com/locations/mclean/,38.9261297,-77.1388766,,1,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1,,,,
Sunrise Childrens Services,Psych Res Program/Woodlawn Campus,400 Cunningham Way ,,Danville,KY,40422,8339.0,Boyle,859-936-3481,http://www.sunrise.org,37.6502688,-84.7923852,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,1,,1.0,1.0,
Spectrum Care Academy,London I and II,1551 Lick Fork Road,,London,KY,40741,,Laurel,606-862-6664,http://www.spectrumcareacademy.com,37.09633,-83.982115,,1,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,1,,1.0,1.0,
Kentucky River Community Care Inc,Crossroads Crisis Services,310 Roy Campbell Drive,,Hazard,KY,41701,,Perry,606-436-2140 x7313,http://www.krccnet.com,37.2719032,-83.2316956,,1,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1,,1.0,1.0,1.0
LifeSkills Inc,Childrens Crisis Stabilization Unit,501 Chestnut Street,,Bowling Green,KY,42101,,Warren,270-901-5000 x1310,http://www.lifeskills.com,36.995225,-86.434561,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,1,1.0,1.0,1.0,
McLean Hospital,,115 Mill Street,,Belmont,MA,2478,,Middlesex,617-855-2000,http://www.mcleanhospital.org,42.395482,-71.190961,1.0,1,1.0,1.0,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1,1.0,1.0,,1.0
Gunderson Residence,,5 Spruce Avenue,,Lee,MA,2138,,Middlesex,888-657-5699,http://www.mcleanhospital.org/programs/gunderson-residence/overview,42.3752951,-71.1506512,,1,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,1,,1.0,,1.0
Cambridge Eating Disorder Center,(CEDC),3 Bow Street,,Cambridge,MA,2138,,Middlesex,617-547-2255,http://www.eatingdisordercenter.org,42.3719993,-71.1159555,,1,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1,,,,
Open Sky Community Services,Ives House Residence,154 Vernon Street,,Worcester,MA,1610,2038.0,Worcester,508-757-8636,http://www.openskycs.org,42.2442007,-71.7969761,,1,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,1,,,1.0,
Whitfield Regional Hospital IPF,Gerpsych/Adult Psych,105 Highway 80 East,,Demopolis,AL,36732,,Marengo,334-287-2507,http://www.bwwmh.com/tombigbeeoutreach.html,32.5038111,-87.837458,1.0,1,,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1,1.0,1.0,,1.0
Community Connections LLC,Greenway,2301 East Greenway Road,,Phoenix,AZ,85022,,Maricopa,602-535-8313,http://www.communityconnectionsaz.org,33.626007,-112.0327562,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1,,,,
Community Connections LLC,Union Hills,18215 North 11th Drive,,Phoenix,AZ,85023,,Maricopa,602-283-5267,http://www.communityconnectionsaz.org,33.6515269,-112.0874353,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1,,,,1.0
Homes of Personal Enrichment and,Sobriety Services/HOPESS,3338 West Kings Avenue,,Phoenix,AZ,85053,,Maricopa,480-660-5775,http://www.myhopess.com,33.6357774,-112.129585,,1,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
Community Connections LLC,39th Avenue,17604 North 39th Avenue,,Glendale,AZ,85308,,Maricopa,602-761-2430,http://www.communityconnectionsaz.org,33.6457365,-112.1433708,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1,,,,
Florence Crittenton,Therapeutic Group Home,715 West Mariposa Street,,Phoenix,AZ,85013,,Maricopa,602-274-7318 x109,http://www.flocrit.org,33.5081554,-112.0829409,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,1,,1.0,1.0,
BBC Scottsdale,Hopess Shaw Butte,4444 West Shaw Butte Drive,,Glendale,AZ,85304,,Maricopa,480-660-5775,http://www.myhopess.com,33.5953394,-112.1549908,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
Spring Ridge Academy,,13690 South Burton Road,,Mayer,AZ,86333,,Yavapai,928-632-4602 x1140,http://springridgeacademy.com,34.3459472,-112.1682771,,1,1.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,1,,1.0,1.0,
Northern Arizona VA Healthcare System,Mental Health and Behavioral Sciences,500 Highway 89 North,,Prescott,AZ,86313,,Yavapai,928-445-4860 x5303,http://www.prescott.va.gov/,34.5539029,-112.4525611,,1,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1,1.0,1.0,,1.0
Reflections Recovery Center,,957 Black Drive,Suite C,Prescott,AZ,86305,,Yavapai,928-350-8275,http://,34.5660846,-112.4837571,,1,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1,,1.0,,1.0
Sierra Tucson,,39580 South Lago del Oro Parkway,,Tucson,AZ,85739,,Pinal,520-624-4000,http://www.sierratucson.com,32.5170419,-110.8884831,1.0,1,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1,,1.0,,
Rosewood Centers for Eating Disorders,,36075 South Rincon Road,,Wickenburg,AZ,85390,,Maricopa,928-684-9594,http://www.rosewoodranch.com,34.0270139,-112.7419972,1.0,1,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1,,,,
Cottonwood Tucson,,4110 West Sweetwater Drive,,Tucson,AZ,85745,,Pima,520-743-0411,http://www.cottonwoodtucson.com,32.2819584,-111.0524018,1.0,1,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,1,,1.0,,
Impact Medical Group,,870 West Miracle Mile,Building 2,Tucson,AZ,85705,,Pima,520-987-1818,http://www.impactmedaz.com,32.2614179,-110.9861034,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1,1.0,1.0,,1.0
Mountain Valley Child and Family Servs,,7818 Bar Du Lane,,Sacramento,CA,95829,9469.0,Sacramento,916-362-8292,http://mountainvalleyfamilyservices.net,38.473234,-121.344477,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,1,1.0,1.0,1.0,
Mountain Valley Child and Family Servs,,9200 Sweet Acacia Way,,Sacramento,CA,95829,,Sacramento,916-362-8292,http://mountainvalleyfamilyservices.net,38.4856705,-121.3576078,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,1,1.0,1.0,1.0,
Center for Discovery,Danville,212 La Questa Drive,,Danville,CA,94526,3511.0,Contra Costa,866-862-3631,http://centerfordiscovery.com/locations/danville/,37.8174208,-121.989987,,1,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1,,,,
Mountain Valley Child and Family Servs,,6171 Bradshaw Road,,Sacramento,CA,95829,,Sacramento,916-362-8292,http://mountainvalleyfamilyservices.net,38.514938,-121.332542,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,1,1.0,1.0,1.0,
Telecare Corporation,Redwood Place,18949 Redwood Road,,Castro Valley,CA,94546,,Alameda,510-881-1606 x1021,http://Telecarecorp.com,37.7078389,-122.0746454,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,1,,1.0,,1.0
Progress Foundation,Clay Street,2210 Clay Street,,San Francisco,CA,94110,,San Francisco,415-776-4647,http://progressfoundation.org,37.7496,-122.4153,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1,,1.0,,1.0
Edgewood Ctr for Children and Families,,1801 Vicente Street,,San Francisco,CA,94116,2923.0,San Francisco,415-681-3211,http://www.edgewood.org,37.7382644,-122.486567,,1,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,1,,1.0,1.0,
Center for Discovery,Thousand Oaks,228 Rimrock Road,,Westlake Village,CA,91361,5203.0,Ventura,866-862-3631,http://centerfordiscovery.com/locations/thousand-oaks/,34.1733236,-118.8669169,,1,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,1,,1.0,,
BNI Treatment Centers,,30954 Lobo Canyon Road,,Agoura Hills,CA,91301,,Los Angeles,866-801-0085,http://bnitreatment.com/,34.1221216,-118.7959711,,1,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,1,,1.0,,
1 Method LLC,1 Method Center,10254 Bannockburn Drive,,Los Angeles,CA,90064,,Los Angeles,310-837-7330,http://methodtreatment.com,34.0343945,-118.4081563,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
Mountain Valley Child and Family Servs,,24077 State Highway 49,,Nevada City,CA,95959,8519.0,Nevada,530-265-9057,http://mountainvalleyfamilyservices.net,39.318855,-121.104678,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,1,1.0,1.0,1.0,
Muir Wood Adolescent and,Family Services,343 Haverfield Lane,,Petaluma,CA,94952,1250.0,Sonoma,707-800-5286,http://www.MuirWoodTeen.com,38.246352,-122.666498,,1,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,1,,1.0,,
Muir Wood Adolescent and,Family Services,1733 Skillman Lane,,Petaluma,CA,94952,,Sonoma,310-903-1155,http://www.muirwoodteen.com,38.2551766,-122.6767023,,1,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,1,,1.0,,
Muir Wood Adolescent and,Family Services,1743 Skillman Lane,,Petaluma,CA,94952,,Sonoma,707-800-5286,http://www.MuirWoodTeen.com,38.2554987,-122.6768821,,1,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,1,,1.0,,
Center for Discovery,La Habra,2115 Las Palomas Drive,,La Habra,CA,90631,7761.0,Orange,866-862-3631,http://centerfordiscovery.com/locations/la-habra/,33.9638412,-117.97263,,1,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1,,,,
Center for Discovery,Rancho Palos Verdes,30175 Avenida Tranquila,,Rancho Palos Verdes,CA,90275,,Los Angeles,866-862-3631,http://centerfordiscovery.com/locations/rancho-palos-verdes/,33.7595204,-118.3992862,,1,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1,,,,
Asana Recovery,Madsion,3073 Madison Avenue,,Costa Mesa,CA,92626,,Orange,949-438-4504,http://www.asanarecovery.com,33.6835835,-117.9006186,,1,1.0,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,,1.0,,
Nsight Psychology and Addiction,,4000 Birch Street,Suite 112,Newport Beach,CA,92660,,Orange,949-629-3730,http://www.nsightrecovery.com,33.6641928,-117.8692118,,1,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,,1,1.0,1.0,,1.0
Oak Grove Center,,24275 Jefferson Avenue,,Murrieta,CA,92562,,Riverside,951-677-5599,http://www.oakgrovecenter.org,33.566775,-117.218059,,1,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,1,,1.0,1.0,
Center for Discovery,Del Mar,4421 Carmel Valley Road,,San Diego,CA,92130,2409.0,San Diego,866-862-3631,http://centerfordiscovery.com/locations/del-mar/,32.9470749,-117.1975611,,1,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1,,,,
Center for Discovery,La Jolla,3013 Woodford Drive,,La Jolla,CA,92037,3549.0,San Diego,877-701-7119,http://centerfordiscovery.com/locations/la-jolla/,32.8481304,-117.2393646,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1,,,,
Crestwood Behavioral Health Inc,Crestwood Wellness and Recovery Center,3062 Churn Creek Road,,Redding,CA,96002,2124.0,Shasta,530-221-0976,http://crestwoodbehavioralhealth.com,40.562448,-122.353726,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,1,,1.0,,1.0
Reno Behavioral Healthcare Hospital,,6940 Sierra Center Parkway,,Reno,NV,89511,,Washoe,775-393-2201,http://renobehavioral.com,39.463896,-119.776101,1.0,1,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,1,,,1.0,1.0
Boulder City Hospital,,901 Adams Boulevard,,Boulder City,NV,89005,,Clark,702-293-4111,http://www.bouldercityhospital.org,35.9676546,-114.8429317,1.0,1,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1,,1.0,,
Youth Consultation Service,,284 Broadway,,Newark,NJ,7104,,Essex,973-485-3314,http://www.ycs.org,40.7601729,-74.1691814,,1,,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,1,,1.0,1.0,
VA NJ Healthcare System,East Orange Campus,385 Tremont Avenue,,East Orange,NJ,7018,,Essex,973-676-1000 x7110,http://www.accesstocare.va.gov/,40.752661,-74.2361139,1.0,1,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1,,1.0,,1.0
Oaks Integrated Care,,42 Fern Lane,,Hammonton,NJ,8037,,Atlantic,609-567-7335,http://oaksintcare.org/,39.6768698,-74.8620067,,1,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,,1,,1.0,,1.0
Twin Oaks Community Services,,65 Laurel Lane,,Hammonton,NJ,8037,,Atlantic,609-567-7335,http://www.oaksintcare.org,39.6750603,-74.86239,,1,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,,1,,1.0,,1.0
Ranch Hope Inc,Strang School,45 Sawmill Road,P.O. Box 325,Alloway,NJ,8001,,Salem,856-935-1555 x433,http://www.ranchhope.org,39.5478165,-75.3597778,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1,,1.0,1.0,
Providence Adolescent,Residential Treatment Program,3210 West 62nd Avenue,,Anchorage,AK,99502,,Anchorage,907-212-2040,http://www.providence.org,61.1642649,-149.9391281,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,,1,,1.0,1.0,
Veterans Affairs Hines Hospital,,5000 South 5th Avenue,,Hines,IL,60141,,Cook,708-202-8387,http://www.hines.va.gov/,41.8602113,-87.8407118,1.0,1,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1,,1.0,,1.0
Center for Discovery,Glenview,3737 Lawson Road,,Glenview,IL,60026,1107.0,Cook,866-824-0109,http://centerfordiscovery.com/locations/glenview/,42.1000755,-87.8486446,,1,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1,,,,
Jasper Mountain,,37875 Jasper Lowell Road,,Fall Creek,OR,97438,9751.0,Lane,541-747-1235,http://www.jaspermountain.org,43.9737308,-122.8721457,,1,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,1.0,
Jasper Mountain,SAFE Center,89124 Marcola Road,,Springfield,OR,97478,8780.0,Lane,541-741-7402,http://www.jaspermountain.org,44.086782,-122.953642,,1,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,1,,1.0,1.0,
Pioneer Guest Home II Inc,,101 East Main Street,P.O. Box 326,Enterprise,OR,97828,,Wallowa,541-426-4222,https://www.wvcenterforwellness.org,45.425806,-117.277242,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1,,1.0,,1.0
Iowa Lutheran Hospital,Powell Chemical Dependency Center,700 East University Avenue,4th Floor,Des Moines,IA,50316,,Polk,515-263-2424 x1,http://www.unitypoint.org/desmoines/powell-chemical-dependency-center.aspx,41.60142,-93.6097501,,1,1.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1,1.0,1.0,,1.0
Chatham Oaks RCF,,4515 Melrose Avenue,,Iowa City,IA,52246,,Johnson,319-887-2701,http://www.unitypoint.org,41.6564904,-91.6022232,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,1,1.0,1.0,,1.0
Heritage Residence,,2275 South Linn Avenue,P.O. Box 110,New Hampton,IA,50659,,Chickasaw,641-394-2391,http://inspiringlivesiowa.org,43.0258906,-92.318598,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1,,1.0,,1.0
Center for Discovery,Edmonds,7511 176th Street SW,,Edmonds,WA,98026,5529.0,Snohomish,866-862-3631,http://centerfordiscovery.com/locations/edmonds/,47.8397581,-122.3348485,,1,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1,,,,
Emily Program,Residential Treatment Facility,4 Nickerson Street,Suite 300,Seattle,WA,98109,,King,888-364-5977,http://www.emilyprogram.com,47.6497742,-122.3569317,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1,,,,
Lake Whatcom Center,Agate Heights ALF,3400 Agate Heights Road,,Bellingham,WA,98226,,Whatcom,360-676-6000 x210,http://lwrtc.org,48.765053,-122.369815,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1,1.0,1.0,,1.0
Lake Whatcom Residential and Trt Ctr,Baker Creek Co Occurring RTF,1641 Baker Creek Place,,Bellingham,WA,98226,,Whatcom,360-676-6000,http://lwrtc.org,48.7864703,-122.4569521,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
Missouri Girls Town,,8548 Jade Road,,Kingdom City,MO,65262,,Callaway,573-642-5345,http://www.mogirlstown.org,38.936025,-91.8541056,,1,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,1,,1.0,1.0,1.0
McCallum Place Eating Disorder Center,,231 West Lockwood Avenue,Suite 201,Saint Louis,MO,63119,,Saint Louis,314-961-1452,http://www.mccallumplace.com,38.5935807,-90.3629567,,1,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1,,,,
VA Saint Louis Healthcare System,,1 Jefferson Barracks Drive,,Saint Louis,MO,63125,,Saint Louis,314-652-4100 x66653,http://www.stlouis.va.gov,38.494831,-90.2844538,1.0,1,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,1.0
Marygrove,,2705 Mullanphy Lane,,Florissant,MO,63031,,Saint Louis,314-837-1702,http://www.marygrovechildren.org,38.823612,-90.35929,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,1,1.0,1.0,1.0,1.0
Ozark Center,Turnaround Ranch,1949 Snowberry Lane,,Joplin,MO,64804,,Jasper,417-347-7860,http://www.freemanhealth.com/OzarkCenter,37.0727597,-94.5927676,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,1,,1.0,1.0,
